Review,Rating
"Curler and Crimper is good.Straightener is not so good.In crimper, it gives you light crimp.Curler is very nice.Make sure before styling use hair spray , it will help you to set your hair in proper style.",5.0
"1st one I ordered was a bit damaged.. so I replaced it.. nd now this one. It's working great.. all the three.. straighter,crimper and curler works very well.. will definitely suggest you to buy this product.. it's worth buying",5.0
This product is just awesome... Firstly i was confused by seeing the reviews... But after using it .. it is amazing...,5.0
"There is a BIG design flaw. Let us look at each flaw.1. There is a knob that helps to switch between the different blades or plates as per the requirement.  This knob locks or unlocks the plates.  Now, this knob has a design flaw.  Since this knob is not smooth to operate, the locking and unlocking take time and effort.  Plus there is always a threat that the knob may get damaged or it may break.2. The outer side of the curved edges is ideally not supposed to heat.  When you turn on the product and start using it, the outer edges will touch any part of the skin across your head or neck.  Now if the outer cover also gets heated at a very high temperature and if this part gets in touch with your skin, image what will happen.3. There are 3 ways by which you can shape your hair, straight, curly and zig-zag.  These shapes are given by plates.  However, if I am using one plate, it is expected that the other 2 plates should not heat, however, this does not happen.  All the plates are heated at once, thereby wastage of electricity and risk of burning your skin.I DO NOT RECOMMEND THIS PRODUCT.",1.0
"Got tempted by the Vega brand and the discounted price, but it turned out to be a substandard product. There is NO TEMPERATURE CONTROL on this thing!!! How can you have a hair straightner and curler without a temperature control and auto cut off !! Most inconvenient to use. Big Mistake. Kindly avoid buying this.",2.0
I was not happy with the product and I had to return it. I bought it a week ago and returned it yesterday bcz of several drawbacks. Initially I was quite satisfied with it but then gradually I realised it heats up so much that I burnt my finger while straightening.It doesn't have temperature control and also the outer area of the straightener becomes too hot and it also takes so much time to cool down after switching it off. The curler just doesn't works. Crimper is not very effective. The straightener works well though but I can get a better one in lesser price.Overall the product is not good if you want something that does your work quickly and efficiently.,2.0
"While the product is made to look good with its black and gold matt look, and sold with 3 features in 1, it has some Major design flaws which are not acceptable from a brand like Vega.1. No temperature control, gets heated beyond what you are comfortable with for your hair.2. Besides the inner metal plate, the entire top half of the product also gets heated on the outside body and chances are you could easily burn yourself on your face while holding it close. Your fingers may also get burnt if they move upwards on the iron body while you are straightening your hair.3. The heating plates in the straightener are flat and not elevated like in others, so the grip on the hair is pretty lose, with hair falling out constantly.4.The so called Cold tip at the end of the straightener is not so cold after all, and you cannot hold it comfortably, so you lack grip.5. The swivel cord is good but it is very short.All in all I felt they have compromised on design and quality to offer more feautures, but that is not ok with me.Product returned.",1.0
Vega is a big brand hence I trusted the brand.But it turned out to be totally disappointing product.it doesn't have temp control hence it get heated up way too much coz of which i burnt my forehead.And straigthning doesn't last long!,1.0
"We mighy go for this product as it is 3 in 1 for such a cheap price. But please consider these before buying.There is no heat setting.Since it's 3 in 1 , it's held by a small plastic lock. Should be handled very carefully.Straightening is okay , but the finish isnt as expected.Crimper is good.Curler is quite average.All the 3 plates get heated up at once.For a rare use its really a good product.",4.0
Well first got the product checked it it was working......than when I used for second time...the light won't start.....a waste....can't refund also ....as date of refund has gone...waste of money...plus dealer has not stamp on warranty card...so cnt repair it in warranty.....such a waste of my money...please don't buy it .....,1.0
"Very disappointed with the product, straightener isn't working properly, curl isn't working properly, only crumbal was amazing, don't buy it.",1.0
"As it is combination of curler, whole body is getting hot, because of this reason it  burnt my scalp and fingers.  we should BE CAUTIOUS while using it and should hold it only on tips. No temperature control, and one switch is there to change the product for all 3 uses, but that switch is little fragile. Apart from these drawbacks this is a nice product, where we can carry it easily and use it in 3 different ways.",3.0
"The media could not be loaded.
                




   I ordered this machine for my wife and she loved this machine so much. Everything works perfect. Thank you Amazon 😊",5.0
I love Crimper . . . N All Of is to Good Straightener & Curler . . . Easy 2 Use . . . Bat use to carefully  because minus point is temperature not control bat plus point is it's weightless producet bat packing is dissipointed bat i purchese product is Safe  . . . Over All Product Great  !!! I Give Five Star 🌟🌟🌟🌟,5.0
"There are many ways to use the product which i surely appreciate and that has attracted me. But it gets high in temperature where i have got hurt as well,no temperature control is there which is very important.Product is fine without temperature control. You can try on your choice.",3.0
In 1300 you will get roller straight iron and crimper.Crimper works great.Roller also work great.Only draw back with straightner that it has extremely small ediges to hold. You would end up burning fingers.It is a good product to buy. Doesn't heat up too much and give decent straight hair.,5.0
"One of the most useless product ever purchased on Amazon. Was searching for curler but got tempted to buy this with Vega brand name. Shouldn't have overlooked other reviews. Curler and straightener doesn't wotk at all, crimpler works a bit. No thermostat for automatic temperature control and very inconvenient to operate alone. Total waste as not returnable.",1.0
I ordered this product with lot of expectations and it did not fulfill it. Its curler & straightener are not working properly. I am very disappointed.Please do not order it. Order philips product instead of it as I have done.,1.0
