Reveiw,Rating
this product was amazing and quality are amazing but when I receive this product n when i open this I saw in the box one missing part of this productFLIPKART PLS CHECK THE YOUR PRODUCTS BEFORE THE DELIVERY PRODUCT QUALITY GOOD PERFECT 👌PACKAGE N PACKING VERY GOOD 🙏👍👌READ MORE,3
very important tool thank you flipkart nice product and working good build quality magnetic very strong and fit good set and packaging but very small but i am happy🤗🤗🤗🤗READ MORE,5
The Product is awesome at this very price range. It will be worth if you buy this. The only reason I gave it 4 🌟 is that I think it can improve its build quality means if you use it then you may notice some fine iron particles over its tip. 👍READ MORE,4
Strong and robust tools. Good fast delivery from flipkart. Very easy to use. We will get the exact product as in the imagesREAD MORE,5
Product is nice but not prefect.....for the professionals....... Good Things-#low cost#easy to handle#approximately all sets are available to use... Bad Things-#material quality is very low#not highly precise#not fine finished having sharp edge#length of driver is too short....READ MORE,3
It is too good at this price. But the grip Is little bit bad But if you see overall it is good if you have good budget then go for another but in this price it is good afREAD MORE,3
All type of tools are available with good shape. Simple & Nice with low cost. Good OneREAD MORE,4
Decent quality at the price point. Pretty useful for enthusiast not for professional use.READ MORE,4
Who can say we're not satistified ofcorse im satisfied with the product... It's an average product can say its a good one but feels really good to have the item around...READ MORE,3
This item is so good  and this  is the best product for doing any work in our houses for the srew tying iam saying that this is the best productREAD MORE,5
looking like a nice product but the extension rod is nit available.the magnetic rod available in it is very short in size.READ MORE,2
Very Nice And Very Good Product Jackly Square Precision 32Pc. and very Good Delivery Thanks For Flipkart Thank You Very Much And Very Good Product For Flipkat.READ MORE,5
"Products aren't good enough and not reliable, the screws wears even in a minor thread loads. Low quality material used. Not a good product to be used or purchased.READ MORE",1
magnets are not strong . good for smooth workes like mobiles bt when tightening the casing of laptop..it gets stuck..poor magnetsREAD MORE,2
Good product at best price...  Steel is easily weared out after first use only. philips point screw drivers are not suitable for mobile or laptop 's nuts.READ MORE,3
really very good product.. this product is available in two models JK 6032-A and Jk 6032 B.. i get 6032 A model which have no extension bar... better if u buy model B.... overall it is very good product and nice packaging... thanks to flipkart to give me  cheap and good products...READ MORE,5
Not much helpful in order to use with laptop screwdriver or as round tip point.Not properly precise cut at all. But its works good for flat tip type screw.READ MORE,3
small insize good to use fold and unfold like small thing like watch and toy... not for heavy dutyREAD MORE,3
It is only for kids work not for any other work it is not using like a big screw it is not working only for small screw it is workingREAD MORE,2
Its looks good for 100Rs. I don't know how long the magnet in it gonna last.Its OK if you are gonna need it for household use.I wouldn't recommend it to do heavy work on daily basis. Its not comfortable enough and wouldn't last long. Made in China : what more can you expect .READ MORE,4
